# confusion pair table generated 2026-07-07T10:59:34+08:00
# corpus: zaizai_v2_train(480) + zaizai_train(200) + Source/Engine/eval/zai-corpus-v3-supplement.tsv(233); min-count 1, min-bigram-count 2, prior-from-data, threshold 0.5
# sentences=913 occurrences=913 C(在)=427 C(再)=486 alpha=0.5
PAIR	ㄗㄞˋ	在	再
PRIOR	-0.911769
THRESHOLD	0.500000
R	現	1.006719
R	理	-1.190506
R	生	1.006719
R	痛	1.006719
R	發	2.105331
R	的	-1.701331
R	盤	1.006719
R	目	-1.190506
R	相	1.517545
R	省	-1.190506
R	眉	-1.190506
R	看	1.078178
R	眼	-1.190506
R	睡	-0.939191
R	瞄	1.006719
R	瞇	1.006719
R	短	1.006719
R	研	1.006719
R	確	2.616157
R	示	1.006719
R	社	-1.190506
R	祭	1.006719
R	移	1.006719
R	窗	-1.190506
R	窮	1.006719
R	笑	-1.190506
R	第	-1.190506
R	等	-1.023452
R	答	1.517545
R	算	1.517545
R	篩	1.006719
R	簡	1.517545
R	簽	0.755404
R	約	2.105331
R	紅	-1.190506
R	累	1.006719
R	細	-1.701331
R	結	2.105331
R	給	2.616157
R	線	-1.190506
R	練	0.755404
R	繞	1.517545
R	繳	1.006719
R	續	1.006719
R	群	-1.190506
R	翻	1.006719
R	考	-0.091893
R	者	1.006719
R	聊	0.418932
R	聞	1.006719
R	聲	1.006719
R	職	-1.190506
R	聽	-0.091893
R	背	-0.939191
R	能	-1.190506
R	臨	1.006719
R	自	1.006719
R	致	1.006719
R	興	1.006719
R	華	-1.190506
R	處	1.854017
R	行	-0.602719
R	表	-0.091893
R	補	1.517545
R	裝	1.006719
R	製	1.006719
R	規	-1.701331
R	解	-0.091893
R	訂	1.517545
R	計	-1.701331
R	討	-1.190506
R	記	-1.190506
R	試	2.473056
R	話	-1.190506
R	該	-1.190506
R	說	-0.219049
R	調	1.854017
R	談	0.755404
R	請	1.006719
R	謄	1.006719
R	講	-0.328282
R	議	1.006719
R	讀	1.517545
R	貴	1.006719
R	賭	1.006719
R	走	-0.091893
R	起	1.006719
R	超	-1.190506
R	跑	-0.428366
R	跟	0.159421
R	路	-2.289118
R	車	-1.190506
R	轉	-0.091893
R	辦	-1.190506
R	辯	-1.190506
R	追	-0.091893
R	逃	-1.190506
R	這	-0.543879
R	通	1.006719
R	逞	1.006719
R	造	1.517545
R	進	-1.190506
R	逼	1.006719
R	遊	-1.190506
R	運	-1.190506
R	過	2.473056
R	遲	1.854017
R	選	1.006719
R	鄉	-1.190506
R	酒	-1.190506
R	重	0.244579
R	野	-1.190506
R	量	1.006719
R	銀	-1.190506
R	鋪	-1.190506
R	錄	-1.190506
R	錢	-1.190506
R	鍋	-1.190506
R	門	-2.289118
R	開	0.527146
R	閣	-1.190506
R	陪	-1.190506
R	陽	-1.190506
R	隨	-1.190506
R	集	-1.190506
R	雙	-1.190506
R	雲	-2.037804
R	需	-1.190506
R	面	-1.190506
R	頂	-0.091893
R	風	-1.190506
R	颳	-1.190506
R	飛	-1.190506
R	餐	-2.037804
R	騙	-1.190506
R	高	1.517545
R	鹹	1.006719
R	點	1.006719
R	，	-1.190506
LB	^他	-1.044760
LB	^你	2.658335
LB	^先	-2.290425
LB	^別	0.292462
LB	^她	-2.079116
LB	^我	0.322960
LB	^請	3.570361
LB	一下	1.516237
LB	一想	1.516237
LB	一直	-2.491096
LB	一點	1.516237
LB	下來	1.516237
LB	下次	1.852709
LB	下班	1.516237
LB	不會	1.852709
LB	不要	2.304694
LB	之後	1.516237
LB	他不	-0.604026
LB	他們	-3.137723
LB	他正	-2.039111
LB	公司	-1.702639
LB	到家	1.516237
LB	到齊	1.852709
LB	剛剛	-1.702639
LB	可以	1.852709
LB	吃完	1.516237
LB	味道	1.516237
LB	回來	1.516237
LB	大家	-1.702639
LB	她正	-1.702639
LB	子還	-1.702639
LB	學生	-1.702639
LB	家都	-2.290425
LB	小孩	-1.702639
LB	已經	-2.039111
LB	年後	1.852709
LB	度還	-1.702639
LB	弟弟	-1.702639
LB	我們	-0.193284
LB	我正	-2.658150
LB	我還	-1.702639
LB	改天	1.516237
LB	教授	-1.702639
LB	晚點	1.516237
LB	會議	-1.702639
LB	有空	1.516237
LB	朋友	-1.702639
LB	案還	-1.702639
LB	消了	1.516237
LB	清楚	2.104024
LB	爸爸	-1.702639
LB	確定	1.516237
LB	等我	1.516237
LB	系統	-0.093201
LB	老師	-1.191813
LB	老闆	-0.093201
LB	見面	1.516237
LB	記者	-1.702639
LB	記錄	-1.702639
LB	認完	1.516237
LB	說完	1.516237
LB	資料	-0.093201
LB	車停	-1.702639
LB	開會	1.516237
LB	雙方	-0.093201
RB	。$	-0.585781
RB	上台	1.534482
RB	下雨	-1.684394
RB	也不	2.969567
RB	也沒	2.489994
RB	亮一	1.534482
RB	他的	-1.684394
RB	做一	0.435870
RB	做決	1.534482
RB	停車	-1.684394
RB	健身	-1.684394
RB	傳一	1.870954
RB	公司	-2.272180
RB	公園	-1.684394
RB	分析	-1.684394
RB	加一	1.534482
RB	告訴	2.122269
RB	哪裡	-1.684394
RB	唸一	1.534482
RB	問一	1.534482
RB	問問	1.534482
RB	回應	1.534482
RB	回答	-0.074956
RB	回覆	0.512831
RB	回訊	1.534482
RB	執行	-0.074956
RB	報告	-1.684394
RB	多等	1.534482
RB	多給	1.534482
RB	學校	-1.684394
RB	宣布	-0.585781
RB	家裡	-1.684394
RB	寫報	-1.684394
RB	幫忙	-0.922254
RB	幫我	1.534482
RB	廚房	-1.684394
RB	強調	-0.585781
RB	形容	-0.585781
RB	想想	1.870954
RB	房間	-2.272180
RB	打一	1.534482
RB	打給	1.870954
RB	打電	-1.684394
RB	找那	-1.684394
RB	抱怨	-1.684394
RB	排隊	-1.684394
RB	描述	-0.585781
RB	提問	-1.684394
RB	提醒	1.870954
RB	播報	-1.684394
RB	敘述	-1.684394
RB	整理	-0.074956
RB	更新	-0.585781
RB	會議	-2.272180
RB	朗誦	-0.074956
RB	核對	1.870954
RB	樓下	-2.020866
RB	檢查	2.489994
RB	決定	1.534482
RB	洗碗	-1.684394
RB	浴室	-1.684394
RB	測試	-1.684394
RB	準備	-2.020866
RB	溝通	0.435870
RB	溫習	1.534482
RB	演講	-1.684394
RB	澄清	-0.074956
RB	玄關	-1.684394
RB	看一	2.869483
RB	看最	-0.074956
RB	看看	1.534482
RB	確認	2.633094
RB	等一	-0.411428
RB	等你	-2.272180
RB	等公	-2.020866
RB	等我	1.534482
RB	答應	1.534482
RB	約時	1.534482
RB	細節	-1.684394
RB	結帳	1.870954
RB	給我	2.322940
RB	練習	1.534482
RB	翻翻	1.870954
RB	翻舊	1.534482
RB	翻譯	-0.585781
RB	考慮	-0.074956
RB	聊$	2.322940
RB	處理	1.870954
RB	補充	2.122269
RB	解釋	-0.074956
RB	計程	-1.684394
RB	討論	-1.173568
RB	試一	1.870954
RB	說$	3.292340
RB	說。	1.534482
RB	說一	2.322940
RB	說了	1.534482
RB	說什	-1.684394
RB	說個	-0.074956
RB	說夢	-2.020866
RB	說明	-1.541293
RB	說話	-1.684394
RB	調整	1.534482
RB	談$	2.633094
RB	談合	-0.074956
RB	講一	2.322940
RB	讀一	1.534482
RB	走廊	-1.684394
RB	跑一	1.534482
RB	跟你	-0.074956
RB	跟客	-1.684394
RB	路上	-1.684394
RB	路邊	-1.684394
RB	轉述	-0.074956
RB	這個	-1.684394
RB	這樣	1.870954
RB	這裡	-1.684394
RB	過去	1.534482
RB	遲到	1.534482
RB	重複	-0.585781
RB	門口	-2.020866
RB	開始	1.534482
RB	開會	-1.684394
RB	雲端	-2.020866
RB	餐廳	-2.020866
RB	高一	1.534482
